RestaurantID,Name,Category,Type,VegStatus,Area,OpeningHours,Notes,SourceURL,Latitude,Longitude
M011,Nehru Zoological Park,monument,zoo,NA,Bahadurpura,8:30 AM - 5:00 PM; closed Mondays,Houses 160+ species; safari-style habitats,https://www.expedia.com/es/Hyderabad-Secunderabad.dx6049990,17.3514419,78.4455598
M012,Taramati Baradari,monument,heritage,NA,Near Golconda Fort / Ibrahim Bagh,10:00 AM - 6:00 PM (verify locally),12-door pavilion; cultural events venue on Musi riverbank,https://www.thrillophilia.com/historical-places-in-hyderabad,,
R001,Nimrah Cafe,restaurant,irani_cafe,veg,Opposite Charminar,4:30 AM onwards (verify locally),Famous for Irani chai and Osmania biscuits; est. 1992,https://www.vikhrolicucina.com/the-lounge/restaurants-in-the-spotlight/6-must-visit-eateries-for-vegetarians-in-hyderabad,,
R002,Cafe Bahar,restaurant,hyderabadi_cuisine,non-veg,Basheerbagh / Himayatnagar,11:00 AM - 11:00 PM (verify locally),Est. 1973; known for biryani and haleem; some veg options,https://en.wikipedia.org/wiki/Cafe_Bahar,17.4050023,78.4769104
R003,Shah Ghouse Cafe,restaurant,hyderabadi_cuisine,non-veg,"Shah-Ali-Banda (also Tolichowki, Gachibowli, Kondapur)",Daily; early morning breakfast items (verify locally per outlet),Est. 1989; famous during Ramadan for haleem,https://en.wikipedia.org/wiki/Shah_Ghouse_Caf%C3%A9,,
R004,Taj Mahal Restaurant,restaurant,south_indian,veg,Abids / Begumpet / Jubilee Hills,Morning - late night (verify locally),Iconic pure-veg chain; masala dosa and idli,https://socialmaharaj.com/2023/02/23/vegetarians-guide-to-hyderabad/,,
R005,Ishtaa,restaurant,south_indian_thali,veg,Opposite IKEA,Lunch hours (verify locally),Unlimited South Indian thali,https://socialmaharaj.com/2023/02/23/vegetarians-guide-to-hyderabad/,,
R006,Mahamudra,restaurant,satvik,veg,Banjara Hills,Lunch and dinner (verify locally),Pure satvik (no onion/garlic) vegetarian food,https://socialmaharaj.com/2023/02/23/vegetarians-guide-to-hyderabad/,17.4177464,78.4399014
R007,Tatva,restaurant,fine_dining,veg,Road 36 Jubilee Hills,Lunch and dinner (verify locally),Pure vegetarian fine dining,https://www.vikhrolicucina.com/the-lounge/restaurants-in-the-spotlight/6-must-visit-eateries-for-vegetarians-in-hyderabad,17.4218332,78.404668
R008,Ohri's Jiva Imperia,restaurant,multi_cuisine,both,Begumpet,Lunch and dinner (verify locally),Part of Ohri's group (20+ outlets citywide),https://www.vikhrolicucina.com/the-lounge/restaurants-in-the-spotlight/6-must-visit-eateries-for-vegetarians-in-hyderabad,17.446195,78.463016
R009,Paradise Biryani,restaurant,biryani,non-veg,"Secunderabad (branches: HITEC City, IMAX)",11:00 AM - 11:00 PM (verify locally),One of the most famous biryani chains in the city,https://wanderlog.com/list/geoCategory/1498101/best-spots-for-biryani-in-hyderabad,,
R010,Bawarchi Restaurant,restaurant,biryani,non-veg,RTC Cross Roads,11:00 AM - 11:00 PM (verify locally),Long-running favorite for mutton and chicken biryani,https://www.tripadvisor.com/ShowTopic-g297586-i7761-k8001522-o10-Which_are_places_to_have_good_biryani_and_good_street_food-Hyderabad_Hyderabad_District.html,17.4070321,78.4968023
R011,Hotel Shadab,restaurant,hyderabadi_cuisine,non-veg,Ghansi Bazaar / Old City,6:00 AM - midnight (verify locally),Historic Old City restaurant famous for haleem and biryani,https://wanderon.in/blogs/street-food-in-hyderabad,,
R012,Pista House,restaurant,bakery_sweets,both,Near Charminar (multiple outlets),Morning to night (verify locally),Most awarded haleem maker in the city; especially during Ramadan,https://www.zingbus.com/blog/best-biryani-places-in-hyderabad-guide/,,
R013,Sonu's Kebabs,street_food,kebab_stall,non-veg,Charminar area,Evening onwards (verify locally),"Malai paya, pattar ghosht, chicken sevaye",https://www.kaadambini.in/post/best-street-food-spots-in-hyderabad,,
R014,Gokul Chat,street_food,chaat,veg,Koti,Evening onwards (verify locally),"Popular for dahi chaat, kachori ragda, pani puri",https://magicpin.in/blog/best-street-food-hyderabad/amp/,17.3850784,78.486167
R015,Ram Ki Bandi,street_food,dosa_idli,veg,Various stalls (originally Vidyanagar),Early morning (verify locally),Famous for dosa and idli with generous filling/chutneys,https://www.restaurantindia.in/article/best-street-food-places-in-hyderabad.14626,,
